AC,CL,DE,GA,ID,ML,NE,TP
PF10014.8,CL0029,2OG-Fe dioxygenase,23.10; 23.10;,2OG-Fe_Oxy_2,191,,Domain
PF13239.5,,2TM domain,24.80; 22.90;,2TM,76,,Family
PF13563.5,CL0247,2'-5' RNA ligase superfamily,27.00; 27.00;,2_5_RNA_ligase2,152,,Family
PF03475.13,,3-alpha domain,22.70; 22.70;,3-alpha,44,,Domain
PF06983.12,CL0104,3-demethylubiquinone-9 3-methyltransferase,21.10; 21.10;,3-dmu-9_3-mt,116,,Family
PF06052.11,CL0029,3-hydroxyanthranilic acid dioxygenase,20.40; 20.40;,3-HAO,151,,Domain
PF12578.7,,Myotubularin-associated protein,23.20; 23.20;,3-PAP,132,,Family
PF00803.17,CL0571,3A/RNA2 movement protein family,25.00; 25.00;,3A,236,,Family
PF01073.18,CL0063,3-beta hydroxysteroid dehydrogenase/isomerase family,20.00; 20.00;,3Beta_HSD,282,,Family
PF06725.10,CL0199,3D domain,23.80; 23.80;,3D,75,,Domain
PF02829.13,,3H domain,25.00; 25.00;,3H,97,,Family
PF10605.8,,3HB-oligomer hydrolase (3HBOH) ,27.00; 26.40;,3HBOH,689,,Family
PF00725.21,CL0106,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",21.60; 21.60;,3HCDH,97,,Domain
PF02737.17,CL0063,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",22.00; 22.00;,3HCDH_N,180,,Domain
PF16121.4,,40S ribosomal protein S4 C-terminus,27.00; 27.00;,40S_S4_C,48,,Family
PF16122.4,,40S ribosomal protein SA C-terminus,25.00; 25.00;,40S_SA_C,95,,Family
PF04419.13,CL0361,4F5 protein family,22.30; 22.30;,4F5,38,,Family
PF03061.21,CL0050,Thioesterase superfamily,20.60; 20.60;,4HBT,79,,Domain
PF13279.5,CL0050,Thioesterase-like superfamily,25.50; 25.50;,4HBT_2,123,,Domain
PF13622.5,CL0050,Thioesterase-like superfamily,27.00; 27.00;,4HBT_3,249,,Domain
PF12729.6,CL0457,Four helix bundle sensory module for signal transduction,27.00; 27.00;,4HB_MCP_1,181,,Family
PF04476.12,CL0036,4-HFC-P synthase,21.20; 21.20;,4HFCP_synth,228,,Family
PF05902.12,,4.1 protein C-terminal domain (CTD),25.00; 25.00;,4_1_CTD,107,,Domain
PF01812.19,CL0246,5-formyltetrahydrofolate cyclo-ligase family,20.90; 20.90;,5-FTHF_cyc-lig,187,,Family
PF06189.11,,5'-nucleotidase,24.70; 24.70;,5-nucleotidase,266,,Family
PF09038.9,CL0049,Tumour suppressor p53-binding protein-1 Tudor,20.50; 20.50;,53-BP1_Tudor,122,,Domain
PF03491.12,,"Serotonin (5-HT) neurotransmitter transporter, N-terminus",20.30; 20.30;,5HT_transport_N,41,,Family
PF07694.11,CL0315,5TMR of 5TMR-LYT,22.90; 22.90;,5TM-5TMR_LYT,169,,Domain
PF01367.19,CL0464,"5'-3' exonuclease, C-terminal SAM fold",40.00; 40.00;,5_3_exonuc,97,,Domain
PF02739.15,CL0280,"5'-3' exonuclease, N-terminal resolvase-like domain",34.20; 34.20;,5_3_exonuc_N,159,,Domain
PF05761.13,CL0137,5' nucleotidase family,28.50; 28.50;,5_nucleotid,457,,Family
PF02872.17,,"5'-nucleotidase, C-terminal domain",23.60; 23.60;,5_nucleotid_C,158,,Domain
PF02096.19,CL0376,60Kd inner membrane protein,27.70; 27.70;,60KD_IMP,166,,Family
PF01591.17,CL0023,6-phosphofructo-2-kinase,21.70; 21.70;,6PF2K,223,,Domain
PF00393.18,CL0106,"6-phosphogluconate dehydrogenase, C-terminal domain",20.40; 20.40;,6PGD,289,,Domain
PF02495.16,,7kD viral coat protein,21.10; 21.10;,7kD_coat,59,,Family
PF02294.17,CL0049,7kD DNA-binding domain,25.00; 25.00;,7kD_DNA_binding,58,,Domain
PF07698.10,CL0192,7TM receptor with intracellular HD hydrolase,29.40; 29.40;,7TM-7TMR_HD,193,,Domain
PF07696.10,CL0202,7TMR-DISM extracellular 2,21.30; 21.30;,7TMR-DISMED2,133,,Domain
PF07695.10,CL0192,7TM diverse intracellular signalling,27.50; 27.50;,7TMR-DISM_7TM,205,,Domain
PF07697.10,,7TM-HD extracellular,24.90; 24.90;,7TMR-HDED,218,,Domain
PF00001.20,CL0192,7 transmembrane receptor (rhodopsin family),23.80; 23.80;,7tm_1,268,DDE_Tnp_4,Family
PF00002.23,CL0192,7 transmembrane receptor (Secretin family),20.60; 20.60;,7tm_2,245,,Family
PF00003.21,CL0192,7 transmembrane sweet-taste receptor of 3 GCPR,28.50; 28.50;,7tm_3,238,,Family
PF13853.5,CL0192,Olfactory receptor,27.00; 27.00;,7tm_4,280,,Family
PF02949.19,CL0176,7tm Odorant receptor,25.80; 25.80;,7tm_6,313,,Family
PF08395.11,CL0176,7tm Chemosensory receptor,26.60; 26.60;,7tm_7,371,,Family
PF02117.15,CL0192,Serpentine type 7TM GPCR chemoreceptor Sra,20.90; 20.90;,7TM_GPCR_Sra,328,,Family
PF10292.8,CL0192,Serpentine type 7TM GPCR receptor class ab chemoreceptor,20.10; 20.10;,7TM_GPCR_Srab,324,,Family
PF02175.15,CL0192,Serpentine type 7TM GPCR chemoreceptor Srb,21.70; 21.70;,7TM_GPCR_Srb,236,,Family
PF10316.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srbc ,21.30; 21.30;,7TM_GPCR_Srbc,275,,Family
PF10317.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srd,22.80; 22.80;,7TM_GPCR_Srd,292,,Family
PF10318.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srh,24.80; 24.80;,7TM_GPCR_Srh,302,,Family
PF10327.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Sri,20.60; 20.60;,7TM_GPCR_Sri,303,,Family
PF10319.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srj,24.10; 24.10;,7TM_GPCR_Srj,310,,Family
PF10320.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srsx,20.40; 20.40;,7TM_GPCR_Srsx,257,,Family
PF10321.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srt,21.00; 21.00;,7TM_GPCR_Srt,313,,Family
PF10322.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Sru,26.00; 26.00;,7TM_GPCR_Sru,304,,Family
PF10323.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srv,20.30; 20.30;,7TM_GPCR_Srv,283,,Family
PF10324.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srw,21.50; 21.50;,7TM_GPCR_Srw,319,,Family
PF10328.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srx,20.30; 20.30;,7TM_GPCR_Srx,262,,Family
PF10325.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Srz,21.30; 21.30;,7TM_GPCR_Srz,267,,Family
PF10326.8,CL0192,Serpentine type 7TM GPCR chemoreceptor Str,21.80; 21.80;,7TM_GPCR_Str,307,,Family
PF14402.5,,7 transmembrane helices usually fused to an inactive transglutaminase,25.00; 25.00;,7TM_transglut,249,,Family
PF17028.4,,8TM Microsporidial transmembrane domain,25.00; 24.60;,8TM_micro,255,,Family
PF07388.10,,"Alpha-2,8-polysialyltransferase (POLYST)",24.50; 24.50;,A-2_8-polyST,492,,Family
PF07966.11,,A1 Propeptide ,20.50; 20.50;,A1_Propeptide,29,,Motif
PF08792.9,CL0167,A2L zinc ribbon domain,22.90; 22.90;,A2L_zn_ribbon,33,,Domain
PF00207.21,CL0159,Alpha-2-macroglobulin family,21.00; 21.00;,A2M,92,,Family
PF07678.13,CL0059,A-macroglobulin complement component,20.50; 20.50;,A2M_comp,249,,Domain
PF01835.18,CL0159,MG2 domain,32.80; 32.80;,A2M_N,96,,Domain
PF07703.13,CL0159,Alpha-2-macroglobulin family N-terminal region,22.70; 22.70;,A2M_N_2,139,TIL,Family
PF07677.13,,A-macroglobulin receptor,21.70; 21.70;,A2M_recep,92,,Domain
PF00004.28,CL0023,ATPase family associated with various cellular activities (AAA),20.80; 20.80;,AAA,132,,Domain
PF09820.8,CL0023,Predicted AAA-ATPase,26.10; 26.10;,AAA-ATPase_like,280,,Family
PF12846.6,CL0023,AAA-like domain,27.50; 27.50;,AAA_10,362,,Domain
PF13086.5,CL0023,AAA domain,27.00; 27.00;,AAA_11,259,,Domain
PF13087.5,CL0023,AAA domain,27.00; 27.00;,AAA_12,200,,Domain
PF13166.5,CL0023,AAA domain,34.70; 34.70;,AAA_13,713,,Domain
PF13173.5,CL0023,AAA domain,27.00; 27.00;,AAA_14,131,,Family
PF13175.5,CL0023,AAA ATPase domain,32.10; 32.10;,AAA_15,385,,Domain
PF13191.5,CL0023,AAA ATPase domain,32.60; 32.60;,AAA_16,170,,Domain
PF13207.5,CL0023,AAA domain,27.00; 27.00;,AAA_17,136,,Domain
PF13238.5,CL0023,AAA domain,29.40; 29.40;,AAA_18,130,,Domain
PF13245.5,CL0023,AAA domain,25.10; 25.10;,AAA_19,146,,Domain
PF07724.13,CL0023,AAA domain (Cdc48 subfamily),20.60; 20.60;,AAA_2,171,,Domain
PF13304.5,CL0023,"AAA domain, putative AbiEii toxin, Type IV TA system",27.00; 27.00;,AAA_21,303,,Domain
PF13401.5,CL0023,AAA domain,27.00; 27.00;,AAA_22,137,,Domain
PF13476.5,CL0023,AAA domain,27.00; 27.00;,AAA_23,200,,Domain
PF13479.5,CL0023,AAA domain,27.00; 27.00;,AAA_24,197,,Domain
PF13481.5,CL0023,AAA domain,27.00; 27.00;,AAA_25,194,,Domain
PF13500.5,CL0023,AAA domain,27.00; 27.00;,AAA_26,200,,Domain
PF13514.5,CL0023,AAA domain,21.40; 21.40;,AAA_27,207,,Domain
PF13521.5,CL0023,AAA domain,27.00; 27.00;,AAA_28,163,,Domain
PF13555.5,CL0023,P-loop containing region of AAA domain,27.00; 27.00;,AAA_29,61,,Domain
PF07726.10,CL0023,ATPase family associated with various cellular activities (AAA),21.10; 21.10;,AAA_3,131,,Domain
PF13604.5,CL0023,AAA domain,27.00; 27.00;,AAA_30,192,,Domain
PF13614.5,CL0023,AAA domain,27.00; 27.00;,AAA_31,177,,Domain
PF13654.5,CL0023,AAA domain,25.90; 25.90;,AAA_32,514,,Domain
PF13671.5,CL0023,AAA domain,27.00; 27.00;,AAA_33,143,,Domain
PF13872.5,CL0023,P-loop containing NTP hydrolase pore-1,27.00; 27.00;,AAA_34,303,,Domain
PF14516.5,CL0023,AAA-like domain,27.00; 27.00;,AAA_35,331,,Family
PF07728.13,CL0023,AAA domain (dynein-related subfamily),21.30; 21.30;,AAA_5,138,,Domain
PF12774.6,CL0023,Hydrolytic ATP binding site of dynein motor region D1,21.30; 21.30;,AAA_6,231,,Domain
PF12775.6,CL0023,P-loop containing dynein motor region D3,21.30; 21.30;,AAA_7,272,,Family
PF12780.6,CL0023,P-loop containing dynein motor region D4,22.90; 22.50;,AAA_8,268,,Domain
PF12781.6,CL0023,ATP-binding dynein motor region D5,27.40; 27.40;,AAA_9,220,,Domain
PF14363.5,,Domain associated at C-terminal with AAA,26.40; 26.40;,AAA_assoc,96,,Family
PF16193.4,,AAA C-terminal domain,34.30; 34.30;,AAA_assoc_2,81,,Family
PF09821.8,,C-terminal AAA-associated domain,21.30; 21.30;,AAA_assoc_C,119,,Domain
PF08298.10,CL0023,PrkA AAA domain,19.70; 19.70;,AAA_PrkA,358,,Domain
PF04611.11,,Mating type protein A alpha Y mating type dependent binding region ,25.00; 25.00;,AalphaY_MDB,145,,Family
PF03306.12,CL0615,Alpha-acetolactate decarboxylase,25.00; 25.00;,AAL_decarboxy,219,,Domain
PF05282.10,,AAR2 protein,23.40; 23.40;,AAR2,352,,Family
PF08142.11,,AARP2CN (NUC121) domain,23.80; 23.80;,AARP2CN,86,,Domain
PF03417.15,CL0052,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase,23.20; 23.20;,AAT,226,,Domain
PF07247.11,CL0149,Alcohol acetyltransferase,21.10; 21.10;,AATase,480,,Family
PF13339.5,,Apoptosis antagonizing transcription factor,24.70; 24.70;,AATF-Che1,140,,Family
PF00696.27,,Amino acid kinase family,24.90; 24.90;,AA_kinase,241,,Family
PF00324.20,CL0062,Amino acid permease,22.60; 22.60;,AA_permease,479,,Family
PF13520.5,CL0062,Amino acid permease,27.00; 27.00;,AA_permease_2,425,,Family
PF13906.5,CL0062,C-terminus of AA_permease,27.00; 27.00;,AA_permease_C,51,,Domain
PF08403.9,,Amino acid permease N-terminal,21.00; 21.00;,AA_permease_N,70,,Family
PF06684.10,,Amino acid synthesis,20.00; 20.00;,AA_synth,175,,Family
PF01490.17,CL0062,Transmembrane amino acid transporter protein,21.60; 21.60;,Aa_trans,409,,Family
PF07336.10,,Putative stress-induced transcription regulator,24.40; 24.40;,ABATE,128,,Family
PF12430.7,,Abscisic acid G-protein coupled receptor ,22.10; 22.10;,ABA_GPCR,181,,Family
PF02496.15,,ABA/WDS induced protein,25.00; 25.00;,ABA_WDS,78,,Family
PF14156.5,,Antirepressor AbbA,27.00; 27.00;,AbbA_antirepres,63,,Family
PF00950.16,CL0142,ABC 3 transport family,19.80; 19.80;,ABC-3,258,,Family
PF03109.15,CL0016,ABC1 family,20.60; 20.60;,ABC1,119,,Family
PF01061.23,CL0181,ABC-2 type transporter,26.90; 26.90;,ABC2_membrane,210,,Family
PF12679.6,CL0181,ABC-2 family transporter protein,26.80; 26.80;,ABC2_membrane_2,288,,Domain
PF12698.6,CL0181,ABC-2 family transporter protein,31.60; 31.60;,ABC2_membrane_3,345,,Family
PF12730.6,CL0181,ABC-2 family transporter protein,27.00; 27.00;,ABC2_membrane_4,179,,Family
PF13346.5,CL0181,ABC-2 family transporter protein,24.40; 24.40;,ABC2_membrane_5,206,,Family
PF06182.10,CL0181,ABC-2 family transporter protein,22.00; 22.00;,ABC2_membrane_6,229,,Family
PF09818.8,CL0023,Predicted ATPase of the ABC class,19.30; 19.30;,ABC_ATPase,448,,Family
PF09819.8,,"ABC-type cobalt transport system, permease component",23.50; 23.50;,ABC_cobalt,121,,Family
PF16962.4,CL0181,Putative ABC exporter,29.70; 29.70;,ABC_export,534,,Family
PF00664.22,CL0241,ABC transporter transmembrane region,28.00; 21.70;,ABC_membrane,274,,Family
PF06472.14,CL0241,ABC transporter transmembrane region 2,24.40; 24.40;,ABC_membrane_2,282,,Family
PF13748.5,CL0241,ABC transporter transmembrane region,27.00; 27.00;,ABC_membrane_3,237,,Family
PF04392.11,CL0144,ABC transporter substrate binding protein,23.90; 23.90;,ABC_sub_bind,293,,Family
PF00005.26,CL0023,ABC transporter,23.10; 23.10;,ABC_tran,137,Chromo,Domain
PF09822.8,,ABC-type uncharacterized transport system,30.40; 30.40;,ABC_transp_aux,265,,Family
PF03886.12,CL0342,ABC-type transport auxiliary lipoprotein component,21.00; 21.00;,ABC_trans_aux,161,,Family
PF06541.10,,Putative ABC-transporter type IV,25.90; 25.90;,ABC_trans_CmpB,148,,Family
PF14510.5,,ABC-transporter extracellular N-terminal,25.40; 25.40;,ABC_trans_N,80,,Domain
PF16949.4,CL0181,Putative ATP-binding cassette,25.70; 25.70;,ABC_tran_2,542,,Family
PF16326.4,,ABC transporter C-terminal domain,32.00; 32.00;,ABC_tran_CTD,69,,Domain
PF12848.6,CL0023,ABC transporter,24.50; 24.50;,ABC_tran_Xtn,85,,Domain
PF12407.7,,Homeobox protein ,25.00; 25.00;,Abdominal-A,24,,Family
PF05270.12,CL0066,Alpha-L-arabinofuranosidase B (ABFB) domain,21.30; 21.30;,AbfB,140,,Domain
PF03806.12,CL0182,AbgT putative transporter family,19.60; 19.60;,ABG_transport,502,,Family
PF00561.19,CL0028,alpha/beta hydrolase fold,25.80; 25.80;,Abhydrolase_1,256,,Domain
PF02230.15,CL0028,Phospholipase/Carboxylesterase,23.00; 23.00;,Abhydrolase_2,217,,Domain
PF07859.12,CL0028,alpha/beta hydrolase fold,21.50; 21.50;,Abhydrolase_3,211,,Domain
PF08386.9,CL0028,TAP-like protein,21.00; 21.00;,Abhydrolase_4,103,,Family
PF12695.6,CL0028,Alpha/beta hydrolase family,27.00; 27.00;,Abhydrolase_5,164,,Domain
PF12697.6,CL0028,Alpha/beta hydrolase family,26.30; 26.30;,Abhydrolase_6,212,,Domain
PF12715.6,CL0028,Abhydrolase family,20.70; 20.70;,Abhydrolase_7,388,,Domain
PF06259.11,CL0028,Alpha/beta hydrolase,20.50; 20.50;,Abhydrolase_8,178,,Family
PF10081.8,CL0028,Alpha/beta-hydrolase family,26.00; 26.00;,Abhydrolase_9,288,,Family
PF15420.5,,Alpha/beta-hydrolase family N-terminus,27.00; 27.00;,Abhydrolase_9_N,209,,Family
PF04083.15,CL0028,Partial alpha/beta-hydrolase lipase region,21.50; 21.50;,Abhydro_lipase,64,,Family
PF02517.15,CL0472,CAAX protease self-immunity,21.00; 21.00;,Abi,92,,Family
PF08843.10,CL0260,"Nucleotidyl transferase AbiEii toxin, Type IV TA system",20.60; 20.60;,AbiEii,239,,Domain
PF09407.9,CL0578,AbiEi antitoxin C-terminal domain,22.20; 22.20;,AbiEi_1,143,,Domain
PF09952.8,CL0578,"Transcriptional regulator, AbiEi antitoxin, Type IV TA system",20.10; 20.10;,AbiEi_2,143,,Family
PF11459.7,CL0578,"Transcriptional regulator, AbiEi antitoxin, Type IV TA system",26.00; 26.00;,AbiEi_3,159,,Family
PF17194.3,CL0123,"Transcriptional regulator, AbiEi antitoxin N-terminal domain",26.00; 26.00;,AbiEi_3_N,93,,Domain
PF13338.5,CL0123,"Transcriptional regulator, AbiEi antitoxin",25.00; 25.00;,AbiEi_4,49,,Domain
PF10899.7,,"Putative abortive phage resistance protein AbiGi, antitoxin",22.40; 22.40;,AbiGi,178,,Family
PF16873.4,,Putative abortive phage resistance protein AbiGii toxin,25.00; 25.00;,AbiGii_2,397,,Domain
PF14253.5,,Bacteriophage abortive infection AbiH,25.20; 25.20;,AbiH,267,,Family
PF07751.10,,Abi-like protein,21.40; 21.40;,Abi_2,179,,Family
PF14355.5,,Abortive infection C-terminus,24.00; 24.00;,Abi_C,83,,Family
PF07815.13,,Abl-interactor HHR,19.60; 19.60;,Abi_HHR,77,,Family
PF16182.4,,Putative adherens-junction anchoring region of AbLIM,29.00; 29.00;,AbLIM_anchor,376,,Family
PF03992.15,CL0032,Antibiotic biosynthesis monooxygenase,23.10; 20.90;,ABM,78,,Domain
PF09441.9,,ARS binding protein 2,25.00; 25.00;,Abp2,171,,Family
PF05145.11,CL0142,Transition state regulatory protein AbrB,27.10; 27.10;,AbrB,314,,Family
PF14250.5,CL0132,AbrB-like transcriptional regulator,25.00; 25.00;,AbrB-like,70,,Family
PF07280.10,,Per os infectivity factor AC110,25.00; 25.00;,Ac110_PIF,43,,Family
PF05814.10,,Orf76 (Ac76),22.50; 22.50;,Ac76,83,,Family
PF05820.10,,Baculoviridae AC81,25.00; 25.00;,Ac81,181,,Family
PF16177.4,CL0378,Acetyl-coenzyme A synthetase N-terminus,27.00; 27.00;,ACAS_N,55,,Family
PF13000.6,CL0015,Acetyl-coenzyme A transporter 1,23.70; 23.70;,Acatn,548,,Family
PF00887.18,CL0632,Acyl CoA binding protein,28.30; 28.30;,ACBP,85,,Domain
PF03255.13,CL0127,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit,21.30; 21.30;,ACCA,144,,Family
PF08326.11,,"Acetyl-CoA carboxylase, central region",23.20; 23.20;,ACC_central,736,,Family
PF13822.5,,Acyl-CoA carboxylase epsilon subunit,25.00; 25.00;,ACC_epsilon,61,,Family
PF16671.4,,Actin cross-linking domain,27.00; 27.00;,ACD,386,,Domain
PF14733.5,,AP2-coincident C-terminal,25.00; 25.00;,ACDC,91,,Family
PF06315.10,CL0016,Isocitrate dehydrogenase kinase/phosphatase (AceK),22.20; 22.20;,AceK,561,,Family
PF00871.16,CL0108,Acetokinase family,22.00; 22.00;,Acetate_kinase,390,,Family
PF09290.10,,"Prokaryotic acetaldehyde dehydrogenase, dimerisation",26.60; 26.60;,AcetDehyd-dimer,138,,Domain
PF08882.10,,Acetone carboxylase gamma subunit,20.80; 20.80;,Acetone_carb_G,114,,Domain
PF02550.14,CL0246,Acetyl-CoA hydrolase/transferase N-terminal domain,20.70; 20.70;,AcetylCoA_hydro,198,,Domain
PF13336.5,CL0246,Acetyl-CoA hydrolase/transferase C-terminal domain,23.20; 23.20;,AcetylCoA_hyd_C,154,,Domain
PF00583.24,CL0257,Acetyltransferase (GNAT) family,20.70; 20.70;,Acetyltransf_1,117,,Family
PF13673.6,CL0257,Acetyltransferase (GNAT) domain,23.60; 23.60;,Acetyltransf_10,127,,Domain
PF13720.5,,Udp N-acetylglucosamine O-acyltransferase; Domain 2,24.50; 24.50;,Acetyltransf_11,82,,Domain
PF13880.5,CL0257,ESCO1/2 acetyl-transferase,22.60; 22.60;,Acetyltransf_13,69,,Domain
PF03421.15,,YopJ Serine/Threonine acetyltransferase,22.60; 22.60;,Acetyltransf_14,177,,Family
PF17013.4,CL0257,Putative acetyl-transferase,35.00; 35.00;,Acetyltransf_15,210,,Family
PF05301.10,CL0257,"GNAT acetyltransferase, Mec-17 ",21.20; 21.20;,Acetyltransf_16,174,,Family
PF00797.16,CL0125,N-acetyltransferase,21.00; 21.00;,Acetyltransf_2,240,,Family
PF13302.6,CL0257,Acetyltransferase (GNAT) domain,25.40; 25.40;,Acetyltransf_3,138,,Domain
PF13420.6,CL0257,Acetyltransferase (GNAT) domain,24.30; 24.30;,Acetyltransf_4,153,,Domain
PF13444.5,CL0257,Acetyltransferase (GNAT) domain,22.40; 22.40;,Acetyltransf_5,101,,Domain
PF13480.6,CL0257,Acetyltransferase (GNAT) domain,22.00; 22.00;,Acetyltransf_6,142,,Domain
PF13508.6,CL0257,Acetyltransferase (GNAT) domain,27.00; 27.00;,Acetyltransf_7,76,,Domain
PF13523.5,CL0257,Acetyltransferase (GNAT) domain,27.00; 27.00;,Acetyltransf_8,145,,Domain
PF13527.6,CL0257,Acetyltransferase (GNAT) domain,25.00; 25.00;,Acetyltransf_9,128,,Domain
PF14542.5,CL0257,GCN5-related N-acetyl-transferase,30.00; 30.00;,Acetyltransf_CG,80,,Domain
PF08674.9,,Acetylcholinesterase tetramerisation domain,25.00; 25.00;,AChE_tetra,37,,Domain
PF15270.5,CL0083,Metallo-carboxypeptidase inhibitor ,27.00; 27.00;,ACI44,65,,Family
PF03767.13,CL0137,"HAD superfamily, subfamily IIIB (Acid phosphatase)",27.00; 27.00;,Acid_phosphat_B,230,,Family
PF12689.6,CL0137,Acid Phosphatase,27.00; 27.00;,Acid_PPase,169,,Family
PF05054.11,,Autographa californica nuclear polyhedrosis virus (AcMNPV) protein,25.00; 25.00;,AcMNPV_Ac109,390,,Family
PF00330.19,,Aconitase family (aconitate hydratase),25.30; 25.30;,Aconitase,462,,Family
PF06434.12,CL0364,Aconitate hydratase 2 N-terminus,20.50; 20.50;,Aconitase_2_N,204,,Family
PF11791.7,,Aconitate B N-terminal domain,25.80; 25.80;,Aconitase_B_N,154,,Domain
PF00694.18,CL0364,Aconitase C-terminal domain,22.80; 22.80;,Aconitase_C,131,,Domain
PF01756.18,CL0087,Acyl-CoA oxidase,21.90; 21.90;,ACOX,180,,Family
PF06857.10,,Malonate decarboxylase delta subunit (MdcD),25.10; 25.10;,ACP,83,,Family
PF05777.11,,Drosophila accessory gland-specific peptide 26Ab (Acp26Ab),25.00; 25.00;,Acp26Ab,90,,Family
PF06313.10,,Drosophila ACP53EA protein,25.00; 25.00;,ACP53EA,90,,Family
PF01648.19,,4'-phosphopantetheinyl transferase superfamily,21.10; 21.10;,ACPS,114,,Family
PF04336.11,,Acyl carrier protein phosphodiesterase,21.40; 21.40;,ACP_PD,105,,Family
PF08545.9,CL0046,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,20.60; 20.60;,ACP_syn_III,80,,Domain
PF08541.9,CL0046,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal  ,22.30; 22.30;,ACP_syn_III_C,90,,Domain
PF10766.8,,Multidrug efflux pump-associated protein AcrZ,25.00; 25.00;,AcrZ,48,,Family
PF00873.18,CL0322,AcrB/AcrD/AcrF family,28.00; 28.00;,ACR_tran,1021,,Family
PF01842.24,CL0070,ACT domain,27.00; 27.00;,ACT,67,,Domain
PF09192.9,CL0016,"Actin-fragmin kinase, catalytic",24.00; 24.00;,Act-Frag_cataly,282,,Domain
PF05058.11,,ActA Protein,23.80; 23.80;,ActA,633,,Family
PF16102.4,,ACTH-associated domain,27.00; 14.40;,ACTH_assoc,28,,Family
PF00976.17,,Corticotropin ACTH domain,27.00; 15.40;,ACTH_domain,19,,Family
PF00022.18,CL0108,Actin,20.90; 20.90;,Actin,407,,Family
PF14408.5,,Ribosomally synthesised peptide in actinomycetes,25.00; 25.00;,Actino_peptide,58,,Family
PF17003.4,CL0108,Putative actin-like family,27.00; 27.00;,Actin_micro,369,,Family
